"No.","Time","Source","Destination","Protocol","Length","Info"
"23","13.361664147","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:47674, GET, TKN:33 e5, /datafile/100B"
"24","13.364648389","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:47674, 2.05 Content, TKN:33 e5, /datafile/100B"
"25","13.367658403","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:10056, GET, TKN:13 a2, /datafile/100B"
"26","13.369836546","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:10056, 2.05 Content, TKN:13 a2, /datafile/100B"
"27","13.372503265","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:3010, GET, TKN:34 e3, /datafile/100B"
"28","13.374506238","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:3010, 2.05 Content, TKN:34 e3, /datafile/100B"
"29","13.376528165","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:60899, GET, TKN:f9 48, /datafile/100B"
"30","13.378625488","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:60899, 2.05 Content, TKN:f9 48, /datafile/100B"
"31","13.380235269","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:41599, GET, TKN:30 cf, /datafile/100B"
"32","13.382326425","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:41599, 2.05 Content, TKN:30 cf, /datafile/100B"
"33","13.384148893","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:33002, GET, TKN:90 40, /datafile/100B"
"34","13.386218951","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:33002, 2.05 Content, TKN:90 40, /datafile/100B"
"35","13.387394553","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:40878, GET, TKN:ac 83, /datafile/100B"
"36","13.389546128","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:40878, 2.05 Content, TKN:ac 83, /datafile/100B"
"37","13.390712328","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:4303, GET, TKN:4e 56, /datafile/100B"
"38","13.392738157","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:4303, 2.05 Content, TKN:4e 56, /datafile/100B"
