"No.","Time","Source","Destination","Protocol","Length","Info"
"7","2.958733155","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:22004, GET, TKN:a6 96, /datafile/10KB"
"8","2.963200386","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22004, 2.05 Content, TKN:a6 96, Block #0, /datafile/10KB"
"9","2.963707470","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22005, GET, TKN:a6 97, End of Block #1, /datafile/10KB"
"10","2.965542666","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22005, 2.05 Content, TKN:a6 97, Block #1, /datafile/10KB"
"11","2.965934789","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22006, GET, TKN:a6 98, End of Block #2, /datafile/10KB"
"12","2.967768585","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22006, 2.05 Content, TKN:a6 98, Block #2, /datafile/10KB"
"13","2.968257742","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22007, GET, TKN:a6 99, End of Block #3, /datafile/10KB"
"14","2.970002734","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22007, 2.05 Content, TKN:a6 99, Block #3, /datafile/10KB"
"15","2.970524139","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22008, GET, TKN:a6 9a, End of Block #4, /datafile/10KB"
"16","2.972315680","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22008, 2.05 Content, TKN:a6 9a, Block #4, /datafile/10KB"
"17","2.973774446","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22009, GET, TKN:a6 9b, End of Block #5, /datafile/10KB"
"18","2.975624609","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22009, 2.05 Content, TKN:a6 9b, Block #5, /datafile/10KB"
"19","2.976897318","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22010, GET, TKN:a6 9c, End of Block #6, /datafile/10KB"
"20","2.978713935","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22010, 2.05 Content, TKN:a6 9c, Block #6, /datafile/10KB"
"21","2.979407557","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22011, GET, TKN:a6 9d, End of Block #7, /datafile/10KB"
"22","2.981216417","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22011, 2.05 Content, TKN:a6 9d, Block #7, /datafile/10KB"
"23","2.981958663","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22012, GET, TKN:a6 9e, End of Block #8, /datafile/10KB"
"24","2.983794589","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22012, 2.05 Content, TKN:a6 9e, Block #8, /datafile/10KB"
"25","2.984447461","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:22013, GET, TKN:a6 9f, End of Block #9, /datafile/10KB"
"26","2.986083573","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:22013, 2.05 Content, TKN:a6 9f, End of Block #9, /datafile/10KB"
"27","2.987759007","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:20311, GET, TKN:ab 93, /datafile/10KB"
"28","2.990039685","192.168.10.2","192.168.10.31","CoAP","1076","ACK, MID:20311, 2.05 Content, TKN:ab 93, Block #0, /datafile/10KB"
"29","2.990977170","192.168.10.31","192.168.10.2","CoAP","64","CON, MID:20312, GET, TKN:ab 94, End of Block #1, /datafile/10KB"
