"No.","Time","Source","Destination","Protocol","Length","Info"
"3","2.482547401","192.168.10.31","192.168.10.4","MQTT","81","Publish Message (id=1030) [QoS-Type]"
"4","2.482861649","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1030)"
"6","2.485221993","192.168.10.31","192.168.10.4","MQTT","84","Publish Message (id=1031) [File-Count]"
"7","2.485494393","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1031)"
"9","2.496277425","192.168.10.31","192.168.10.4","MQTT","100","Publish Message (id=1032) [Start-Time]"
"10","2.496559062","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1032)"
"10687","3.372582639","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1033) [MQTT-Data] [TCP segment of a reassembled PDU]"
"11026","3.411460667","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1033)"
"21231","4.250814957","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1034) [MQTT-Data] [TCP segment of a reassembled PDU]"
"21533","4.283576238","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1034)"
"31796","5.129057371","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1035) [MQTT-Data] [TCP segment of a reassembled PDU]"
"32060","5.160377665","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1035)"
"42339","6.002058023","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1036) [MQTT-Data] [TCP segment of a reassembled PDU]"
"42631","6.037232326","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1036)"
"52906","6.880263165","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1037) [MQTT-Data] [TCP segment of a reassembled PDU]"
"53204","6.914415808","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1037)"
"63471","7.758272868","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1038) [MQTT-Data] [TCP segment of a reassembled PDU]"
"63775","7.791287972","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1038)"
"74037","8.636737715","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1039) [MQTT-Data] [TCP segment of a reassembled PDU]"
"74335","8.668527675","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1039)"
"84576","9.509109514","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1040) [MQTT-Data] [TCP segment of a reassembled PDU]"
"84871","9.545398159","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1040)"
"95144","10.387949705","192.168.10.31","192.168.10.4","MQTT","1514","Publish Message (id=1041) [MQTT-Data] [TCP segment of a reassembled PDU]"
"95443","10.422222301","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1041)"
"105671","11.267350403","192.168.10.31","192.168.10.4","MQTT","1458","Publish Message (id=1042) [MQTT-Data]"
"105679","11.299031214","192.168.10.4","192.168.10.31","MQTT","70","Publish Ack (id=1042)"
"105683","12.331150572","192.168.10.31","192.168.10.4","MQTT","68","Ping Request"
"105684","12.331399451","192.168.10.4","192.168.10.31","MQTT","68","Ping Response"
